Comp	Super.Site	Value	Privacy	Species.mOTUs	Indiv	Part
763982056:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.05183676692309999	Private	meta_mOTU_v2_5811	763982056	tonguedorsum
764042746:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.0143754313676	Private	meta_mOTU_v2_5811	764042746	tonguedorsum
764143897:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.0530993936864	Private	meta_mOTU_v2_5811	764143897	tonguedorsum
764285508:tonguedorsum:meta_mOTU_v2_5811	Oral	0.029113215195299996	Not Private	meta_mOTU_v2_5811	764285508	tonguedorsum
764305738:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.0052969594018	Private	meta_mOTU_v2_5811	764305738	tonguedorsum
764325968:tonguedorsum:meta_mOTU_v2_5811	Oral	0.0019665411533	Not Private	meta_mOTU_v2_5811	764325968	tonguedorsum
764366428:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.0622868636539	Private	meta_mOTU_v2_5811	764366428	tonguedorsum
764447348:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.0648337560228	Private	meta_mOTU_v2_5811	764447348	tonguedorsum
764588959:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.04305231643230001	Private	meta_mOTU_v2_5811	764588959	tonguedorsum
764811490:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.020935085219899993	Private	meta_mOTU_v2_5811	764811490	tonguedorsum
765013792:tonguedorsum:meta_mOTU_v2_5811	Oral	0.1037594685785	Not Private	meta_mOTU_v2_5811	765013792	tonguedorsum
765074482:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.04113626989869999	Private	meta_mOTU_v2_5811	765074482	tonguedorsum
765094712:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.07904875831620001	Private	meta_mOTU_v2_5811	765094712	tonguedorsum
765135172:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.0552322881857	Private	meta_mOTU_v2_5811	765135172	tonguedorsum
823052294:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.024870028331899996	Private	meta_mOTU_v2_5811	823052294	tonguedorsum
861967750:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.024167797692600003	Private	meta_mOTU_v2_5811	861967750	tonguedorsum
763496533:throat:meta_mOTU_v2_5811	Oral	-0.1277928094302	Private	meta_mOTU_v2_5811	763496533	throat
763961826:throat:meta_mOTU_v2_5811	Oral	-0.0920089819852	Private	meta_mOTU_v2_5811	763961826	throat
158883629:tonguedorsum:meta_mOTU_v2_5966	Oral	-0.0741264113656	Private	meta_mOTU_v2_5966	158883629	tonguedorsum
159227541:tonguedorsum:meta_mOTU_v2_5966	Oral	0.024330996135999997	Not Private	meta_mOTU_v2_5966	159227541	tonguedorsum
159551223:tonguedorsum:meta_mOTU_v2_5966	Oral	-0.036967954408899995	Private	meta_mOTU_v2_5966	159551223	tonguedorsum
160603188:tonguedorsum:meta_mOTU_v2_5966	Oral	-0.0722139747346	Private	meta_mOTU_v2_5966	160603188	tonguedorsum
550534656:tonguedorsum:meta_mOTU_v2_5966	Oral	-0.08729058462559999	Private	meta_mOTU_v2_5966	550534656	tonguedorsum
638754422:tonguedorsum:meta_mOTU_v2_5966	Oral	0.010851490653399999	Not Private	meta_mOTU_v2_5966	638754422	tonguedorsum
686765762:tonguedorsum:meta_mOTU_v2_5966	Oral	-0.108425964196322	Private	meta_mOTU_v2_5966	686765762	tonguedorsum
823052294:tonguedorsum:meta_mOTU_v2_5966	Oral	0.01121105568700001	Not Private	meta_mOTU_v2_5966	823052294	tonguedorsum
857980665:tonguedorsum:meta_mOTU_v2_5966	Oral	-0.0856021685228	Private	meta_mOTU_v2_5966	857980665	tonguedorsum
861967750:tonguedorsum:meta_mOTU_v2_5966	Oral	-0.00912280624270001	Private	meta_mOTU_v2_5966	861967750	tonguedorsum
158479027:supragingivalplaque:meta_mOTU_v2_6046	Oral	3.5137453179099996e-4	Not Private	meta_mOTU_v2_6046	158479027	supragingivalplaque
158499257:supragingivalplaque:meta_mOTU_v2_6046	Oral	-0.11081351339075	Private	meta_mOTU_v2_6046	158499257	supragingivalplaque
159268001:supragingivalplaque:meta_mOTU_v2_6046	Oral	-0.15260176526729	Private	meta_mOTU_v2_6046	159268001	supragingivalplaque
