Comp.m	Super.Site.m	Value.m	Privacy.m	Species.mOTUs.m	Indiv.m	Part.m	Ref	Comp.f	Super.Site.f	Value.f	Privacy.f	Species	Indiv.f	Part.f	Species.mOTUs.f	Sign
675950834:supragingivalplaque:ref_mOTU_v2_0131	Oral	-0.011694822381199996	Private	ref_mOTU_v2_0131	675950834	supragingivalplaque	675950834:supragingivalplaque:ref_mOTU_v2_0131	675950834:supragingivalplaque:393480	Oral	-0.018138299384399995	Private	393480	675950834	supragingivalplaque	ref_mOTU_v2_0131	Remained
764143897:supragingivalplaque:ref_mOTU_v2_0131	Oral	-0.06551122241238	Private	ref_mOTU_v2_0131	764143897	supragingivalplaque	764143897:supragingivalplaque:ref_mOTU_v2_0131	764143897:supragingivalplaque:393480	Oral	-0.08083725895329999	Private	393480	764143897	supragingivalplaque	ref_mOTU_v2_0131	Remained
764285508:supragingivalplaque:ref_mOTU_v2_0131	Oral	0.0216490642898	Not Private	ref_mOTU_v2_0131	764285508	supragingivalplaque	764285508:supragingivalplaque:ref_mOTU_v2_0131	764285508:supragingivalplaque:393480	Oral	0.011769290455100001	Not Private	393480	764285508	supragingivalplaque	ref_mOTU_v2_0131	Remained
764508039:supragingivalplaque:ref_mOTU_v2_0131	Oral	0.075690606647299985	Not Private	ref_mOTU_v2_0131	764508039	supragingivalplaque	764508039:supragingivalplaque:ref_mOTU_v2_0131	764508039:supragingivalplaque:393480	Oral	0.047434078277	Not Private	393480	764508039	supragingivalplaque	ref_mOTU_v2_0131	Remained
765013792:supragingivalplaque:ref_mOTU_v2_0131	Oral	0.02893915484420001	Not Private	ref_mOTU_v2_0131	765013792	supragingivalplaque	765013792:supragingivalplaque:ref_mOTU_v2_0131	765013792:supragingivalplaque:393480	Oral	0.019321943673299993	Not Private	393480	765013792	supragingivalplaque	ref_mOTU_v2_0131	Remained
809635352:supragingivalplaque:ref_mOTU_v2_0131	Oral	0.014994458925900012	Not Private	ref_mOTU_v2_0131	809635352	supragingivalplaque	809635352:supragingivalplaque:ref_mOTU_v2_0131	809635352:supragingivalplaque:393480	Oral	0.011164394350099999	Not Private	393480	809635352	supragingivalplaque	ref_mOTU_v2_0131	Remained
861967750:supragingivalplaque:ref_mOTU_v2_0131	Oral	0.01762291907400001	Not Private	ref_mOTU_v2_0131	861967750	supragingivalplaque	861967750:supragingivalplaque:ref_mOTU_v2_0131	861967750:supragingivalplaque:393480	Oral	0.010830232001900003	Not Private	393480	861967750	supragingivalplaque	ref_mOTU_v2_0131	Remained
158458797:tonguedorsum:ref_mOTU_v2_0199	Oral	0.02237030803800001	Not Private	ref_mOTU_v2_0199	158458797	tonguedorsum	158458797:tonguedorsum:ref_mOTU_v2_0199	158458797:tonguedorsum:1304	Oral	-0.002563159624	Private	1304	158458797	tonguedorsum	ref_mOTU_v2_0199	Changed
158499257:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.00620795594790001	Private	ref_mOTU_v2_0199	158499257	tonguedorsum	158499257:tonguedorsum:ref_mOTU_v2_0199	158499257:tonguedorsum:1304	Oral	-0.0085362077879	Private	1304	158499257	tonguedorsum	ref_mOTU_v2_0199	Remained
158802708:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.030562700286700002	Private	ref_mOTU_v2_0199	158802708	tonguedorsum	158802708:tonguedorsum:ref_mOTU_v2_0199	158802708:tonguedorsum:1304	Oral	-0.011943815859	Private	1304	158802708	tonguedorsum	ref_mOTU_v2_0199	Remained
158883629:tonguedorsum:ref_mOTU_v2_0199	Oral	0.012170695198100004	Not Private	ref_mOTU_v2_0199	158883629	tonguedorsum	158883629:tonguedorsum:ref_mOTU_v2_0199	158883629:tonguedorsum:1304	Oral	0.05303682753410001	Not Private	1304	158883629	tonguedorsum	ref_mOTU_v2_0199	Remained
158944319:tonguedorsum:ref_mOTU_v2_0199	Oral	0.08671662068569999	Not Private	ref_mOTU_v2_0199	158944319	tonguedorsum	158944319:tonguedorsum:ref_mOTU_v2_0199	158944319:tonguedorsum:1304	Oral	0.1069441311192	Not Private	1304	158944319	tonguedorsum	ref_mOTU_v2_0199	Remained
159207311:tonguedorsum:ref_mOTU_v2_0199	Oral	0.013258339184000004	Not Private	ref_mOTU_v2_0199	159207311	tonguedorsum	159207311:tonguedorsum:ref_mOTU_v2_0199	159207311:tonguedorsum:1304	Oral	0.025190736808900008	Not Private	1304	159207311	tonguedorsum	ref_mOTU_v2_0199	Remained
159227541:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.003195921953599995	Private	ref_mOTU_v2_0199	159227541	tonguedorsum	159227541:tonguedorsum:ref_mOTU_v2_0199	159227541:tonguedorsum:1304	Oral	-0.0243931551401	Private	1304	159227541	tonguedorsum	ref_mOTU_v2_0199	Remained
159551223:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.01334385726630001	Private	ref_mOTU_v2_0199	159551223	tonguedorsum	159551223:tonguedorsum:ref_mOTU_v2_0199	159551223:tonguedorsum:1304	Oral	-0.023902818200700005	Private	1304	159551223	tonguedorsum	ref_mOTU_v2_0199	Remained
159611913:tonguedorsum:ref_mOTU_v2_0199	Oral	-0.062551651205	Private	ref_mOTU_v2_0199	159611913	tonguedorsum	159611913:tonguedorsum:ref_mOTU_v2_0199	159611913:tonguedorsum:1304	Oral	-0.0633616348737	Private	1304	159611913	tonguedorsum	ref_mOTU_v2_0199	Remained
