Comp	Super.Site	Value	Privacy	Species	Indiv	Part
764366428:supragingivalplaque:1125718	Oral	-0.052131314063699995	Private	1125718	764366428	supragingivalplaque
764508039:supragingivalplaque:1125718	Oral	-0.024020674608099993	Private	1125718	764508039	supragingivalplaque
765013792:supragingivalplaque:1125718	Oral	-0.11667744844188	Private	1125718	765013792	supragingivalplaque
158479027:supragingivalplaque:1127696	Oral	-0.15066902587980002	Private	1127696	158479027	supragingivalplaque
160319967:supragingivalplaque:1127696	Oral	-0.06475419572159999	Private	1127696	160319967	supragingivalplaque
370425937:supragingivalplaque:1127696	Oral	-0.0737108433285	Private	1127696	370425937	supragingivalplaque
765013792:supragingivalplaque:1127696	Oral	0.08052372702319999	Not Private	1127696	765013792	supragingivalplaque
158499257:tonguedorsum:1128111	Oral	-0.024270941095200005	Private	1128111	158499257	tonguedorsum
158883629:tonguedorsum:1128111	Oral	-0.015763647638499995	Private	1128111	158883629	tonguedorsum
158944319:tonguedorsum:1128111	Oral	-0.036183866233999995	Private	1128111	158944319	tonguedorsum
159207311:tonguedorsum:1128111	Oral	-0.0334424529049	Private	1128111	159207311	tonguedorsum
159227541:tonguedorsum:1128111	Oral	-0.0062069122434000035	Private	1128111	159227541	tonguedorsum
159268001:tonguedorsum:1128111	Oral	-0.016064454127699995	Private	1128111	159268001	tonguedorsum
159551223:tonguedorsum:1128111	Oral	-0.054510214684599996	Private	1128111	159551223	tonguedorsum
159611913:tonguedorsum:1128111	Oral	-0.0659300575733	Private	1128111	159611913	tonguedorsum
160421117:tonguedorsum:1128111	Oral	-0.034886208399	Private	1128111	160421117	tonguedorsum
160582958:tonguedorsum:1128111	Oral	-0.028839041048200002	Private	1128111	160582958	tonguedorsum
160603188:tonguedorsum:1128111	Oral	-0.023197967412300013	Private	1128111	160603188	tonguedorsum
246515023:tonguedorsum:1128111	Oral	-0.018497914473200004	Private	1128111	246515023	tonguedorsum
508703490:tonguedorsum:1128111	Oral	-0.0595885338285	Private	1128111	508703490	tonguedorsum
550534656:tonguedorsum:1128111	Oral	-0.0417458402745	Private	1128111	550534656	tonguedorsum
638754422:tonguedorsum:1128111	Oral	-0.0019919947671000054	Private	1128111	638754422	tonguedorsum
663835652:tonguedorsum:1128111	Oral	-0.1370493383604	Private	1128111	663835652	tonguedorsum
675950834:tonguedorsum:1128111	Oral	-0.005432623702300007	Private	1128111	675950834	tonguedorsum
686765762:tonguedorsum:1128111	Oral	-0.04263656976750001	Private	1128111	686765762	tonguedorsum
737052003:tonguedorsum:1128111	Oral	-0.006814074293400002	Private	1128111	737052003	tonguedorsum
763536994:tonguedorsum:1128111	Oral	-0.020209080564400003	Private	1128111	763536994	tonguedorsum
763577454:tonguedorsum:1128111	Oral	-0.028826992255100006	Private	1128111	763577454	tonguedorsum
763901136:tonguedorsum:1128111	Oral	-0.021551409396900006	Private	1128111	763901136	tonguedorsum
763961826:tonguedorsum:1128111	Oral	-0.031455422198300005	Private	1128111	763961826	tonguedorsum
763982056:tonguedorsum:1128111	Oral	-0.036613854732	Private	1128111	763982056	tonguedorsum
764042746:tonguedorsum:1128111	Oral	-0.0606048606456	Private	1128111	764042746	tonguedorsum
764083206:tonguedorsum:1128111	Oral	-0.023902899116899995	Private	1128111	764083206	tonguedorsum
764143897:tonguedorsum:1128111	Oral	-0.0365290611379	Private	1128111	764143897	tonguedorsum
764285508:tonguedorsum:1128111	Oral	0.027236629550500005	Not Private	1128111	764285508	tonguedorsum
764325968:tonguedorsum:1128111	Oral	-0.024423922263900007	Private	1128111	764325968	tonguedorsum
764447348:tonguedorsum:1128111	Oral	-0.057102446462900004	Private	1128111	764447348	tonguedorsum
764588959:tonguedorsum:1128111	Oral	-0.0356460799116	Private	1128111	764588959	tonguedorsum
764811490:tonguedorsum:1128111	Oral	-0.012057339541899997	Private	1128111	764811490	tonguedorsum
765013792:tonguedorsum:1128111	Oral	0.030093380786899993	Not Private	1128111	765013792	tonguedorsum
765074482:tonguedorsum:1128111	Oral	-0.013188811241399992	Private	1128111	765074482	tonguedorsum
765094712:tonguedorsum:1128111	Oral	-0.048289703753400005	Private	1128111	765094712	tonguedorsum
823052294:tonguedorsum:1128111	Oral	-0.032809128654800006	Private	1128111	823052294	tonguedorsum
857980665:tonguedorsum:1128111	Oral	-0.060996210478700005	Private	1128111	857980665	tonguedorsum
861967750:tonguedorsum:1128111	Oral	-0.030413158979399994	Private	1128111	861967750	tonguedorsum
763961826:throat:1128111	Oral	-0.060233574937799995	Private	1128111	763961826	throat
159753524:tonguedorsum:1156433	Oral	-0.07151736904690001	Private	1156433	159753524	tonguedorsum
160178356:tonguedorsum:1156433	Oral	-0.008365075691300003	Private	1156433	160178356	tonguedorsum
160421117:tonguedorsum:1156433	Oral	-0.05439649583410001	Private	1156433	160421117	tonguedorsum
160158126:supragingivalplaque:1216362	Oral	-0.027236007088700012	Private	1216362	160158126	supragingivalplaque
147406386:supragingivalplaque:1227261	Oral	-0.0028288589355099994	Private	1227261	147406386	supragingivalplaque
158802708:supragingivalplaque:1227261	Oral	-0.144105597866317	Private	1227261	158802708	supragingivalplaque
158883629:supragingivalplaque:1227261	Oral	-0.14606879346338	Private	1227261	158883629	supragingivalplaque
159268001:supragingivalplaque:1227261	Oral	-0.15233697831344	Private	1227261	159268001	supragingivalplaque
160158126:supragingivalplaque:1227261	Oral	-0.14943299607862598	Private	1227261	160158126	supragingivalplaque
160319967:supragingivalplaque:1227261	Oral	-0.16619346599172602	Private	1227261	160319967	supragingivalplaque
160582958:supragingivalplaque:1227261	Oral	0.009735897385300004	Not Private	1227261	160582958	supragingivalplaque
404239096:supragingivalplaque:1227261	Oral	-0.142363125028717	Private	1227261	404239096	supragingivalplaque
604812005:supragingivalplaque:1227261	Oral	-0.04445574539979999	Private	1227261	604812005	supragingivalplaque
763496533:supragingivalplaque:1227261	Oral	-0.116474150932886	Private	1227261	763496533	supragingivalplaque
763901136:supragingivalplaque:1227261	Oral	-0.00118121049931	Private	1227261	763901136	supragingivalplaque
764062976:supragingivalplaque:1227261	Oral	-0.134355071907908	Private	1227261	764062976	supragingivalplaque
764305738:supragingivalplaque:1227261	Oral	-0.14931699486846398	Private	1227261	764305738	supragingivalplaque
764508039:supragingivalplaque:1227261	Oral	-0.001137833188363	Private	1227261	764508039	supragingivalplaque
765013792:supragingivalplaque:1227261	Oral	-0.020464113742677	Private	1227261	765013792	supragingivalplaque
765094712:supragingivalplaque:1227261	Oral	-0.070715252802166	Private	1227261	765094712	supragingivalplaque
158883629:tonguedorsum:1236504	Oral	-0.04517346058814	Private	1236504	158883629	tonguedorsum
158944319:tonguedorsum:1236504	Oral	-0.0482640277499	Private	1236504	158944319	tonguedorsum
159227541:tonguedorsum:1236504	Oral	-0.098387347628	Private	1236504	159227541	tonguedorsum
159551223:tonguedorsum:1236504	Oral	-0.10616562512014	Private	1236504	159551223	tonguedorsum
159611913:tonguedorsum:1236504	Oral	-0.17189885154264	Private	1236504	159611913	tonguedorsum
160319967:tonguedorsum:1236504	Oral	0.08821711134690001	Not Private	1236504	160319967	tonguedorsum
160421117:tonguedorsum:1236504	Oral	-0.1205983524251	Private	1236504	160421117	tonguedorsum
160502038:tonguedorsum:1236504	Oral	0.009276459742900006	Not Private	1236504	160502038	tonguedorsum
160582958:tonguedorsum:1236504	Oral	-0.04788738696269999	Private	1236504	160582958	tonguedorsum
160603188:tonguedorsum:1236504	Oral	-0.0263401164051	Private	1236504	160603188	tonguedorsum
246515023:tonguedorsum:1236504	Oral	-0.02975497269535	Private	1236504	246515023	tonguedorsum
508703490:tonguedorsum:1236504	Oral	-0.12836057064133002	Private	1236504	508703490	tonguedorsum
550534656:tonguedorsum:1236504	Oral	-0.1405239408886	Private	1236504	550534656	tonguedorsum
638754422:tonguedorsum:1236504	Oral	-0.024276637012999994	Private	1236504	638754422	tonguedorsum
663835652:tonguedorsum:1236504	Oral	-0.0110670365361	Private	1236504	663835652	tonguedorsum
675950834:tonguedorsum:1236504	Oral	-0.06477503520069999	Private	1236504	675950834	tonguedorsum
737052003:tonguedorsum:1236504	Oral	-0.16243487946885	Private	1236504	737052003	tonguedorsum
763536994:tonguedorsum:1236504	Oral	-0.095859009611146	Private	1236504	763536994	tonguedorsum
763577454:tonguedorsum:1236504	Oral	-0.03926134948914	Private	1236504	763577454	tonguedorsum
763901136:tonguedorsum:1236504	Oral	-0.020137536628699992	Private	1236504	763901136	tonguedorsum
763982056:tonguedorsum:1236504	Oral	0.014460910388199993	Not Private	1236504	763982056	tonguedorsum
764143897:tonguedorsum:1236504	Oral	-0.16980396203426	Private	1236504	764143897	tonguedorsum
764325968:tonguedorsum:1236504	Oral	-0.08737004752799998	Private	1236504	764325968	tonguedorsum
764811490:tonguedorsum:1236504	Oral	-0.1073863326982	Private	1236504	764811490	tonguedorsum
765074482:tonguedorsum:1236504	Oral	-0.1634163365041	Private	1236504	765074482	tonguedorsum
765094712:tonguedorsum:1236504	Oral	-0.1036521258205	Private	1236504	765094712	tonguedorsum
823052294:tonguedorsum:1236504	Oral	-0.08993084580170001	Private	1236504	823052294	tonguedorsum
857980665:tonguedorsum:1236504	Oral	-0.14846073114444	Private	1236504	857980665	tonguedorsum
158337416:tonguedorsum:1304	Oral	-0.036000226377399996	Private	1304	158337416	tonguedorsum
158458797:tonguedorsum:1304	Oral	-0.002563159624	Private	1304	158458797	tonguedorsum
158479027:tonguedorsum:1304	Oral	0.012626928800499999	Not Private	1304	158479027	tonguedorsum
158499257:tonguedorsum:1304	Oral	-0.0085362077879	Private	1304	158499257	tonguedorsum
158802708:tonguedorsum:1304	Oral	-0.011943815859	Private	1304	158802708	tonguedorsum
158883629:tonguedorsum:1304	Oral	0.05303682753410001	Not Private	1304	158883629	tonguedorsum
158944319:tonguedorsum:1304	Oral	0.1069441311192	Not Private	1304	158944319	tonguedorsum
159207311:tonguedorsum:1304	Oral	0.025190736808900008	Not Private	1304	159207311	tonguedorsum
159227541:tonguedorsum:1304	Oral	-0.0243931551401	Private	1304	159227541	tonguedorsum
159268001:tonguedorsum:1304	Oral	-0.021358194319000004	Private	1304	159268001	tonguedorsum
159551223:tonguedorsum:1304	Oral	-0.023902818200700005	Private	1304	159551223	tonguedorsum
159591683:tonguedorsum:1304	Oral	-0.032211324208000006	Private	1304	159591683	tonguedorsum
159611913:tonguedorsum:1304	Oral	-0.0633616348737	Private	1304	159611913	tonguedorsum
159753524:tonguedorsum:1304	Oral	-0.007625802254699998	Private	1304	159753524	tonguedorsum
160178356:tonguedorsum:1304	Oral	0.012269110291000002	Not Private	1304	160178356	tonguedorsum
160319967:tonguedorsum:1304	Oral	0.008419993698999997	Not Private	1304	160319967	tonguedorsum
160380657:tonguedorsum:1304	Oral	0.046381186068799984	Not Private	1304	160380657	tonguedorsum
160421117:tonguedorsum:1304	Oral	-0.0747814087416	Private	1304	160421117	tonguedorsum
160582958:tonguedorsum:1304	Oral	0.034953410701600005	Not Private	1304	160582958	tonguedorsum
160603188:tonguedorsum:1304	Oral	0.05193312677600001	Not Private	1304	160603188	tonguedorsum
246515023:tonguedorsum:1304	Oral	4.2150949430000417e-4	Not Private	1304	246515023	tonguedorsum
